epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4375,0.49346,0.61293,1.11536,0.89381,0.89887,0.9446,0.79271,0.59292,0.49647,1.16847,0.000332046,0.000332046,0.000332046
2,72.1194,0.52941,0.64289,1.13897,0.88099,0.9054,0.94169,0.77198,0.63694,0.53069,1.21259,0.000658792,0.000658792,0.000658792
3,99.5236,0.55807,0.69311,1.15688,0.81906,0.80632,0.88299,0.70922,0.68602,0.76686,1.27525,0.000978938,0.000978938,0.000978938
4,133.528,0.55994,0.6863,1.15942,0.86434,0.89002,0.93527,0.76128,0.63203,0.55457,1.21476,0.0009703,0.0009703,0.0009703
5,168.071,0.56392,0.67725,1.16454,0.79371,0.81941,0.87769,0.69348,0.75205,0.78598,1.35118,0.0009604,0.0009604,0.0009604
6,197.614,0.56101,0.68388,1.16244,0.91578,0.87053,0.94605,0.78759,0.6139,0.52276,1.18895,0.0009505,0.0009505,0.0009505
7,228.55,0.55688,0.67172,1.16216,0.8646,0.81043,0.91317,0.74373,0.64573,0.67251,1.24095,0.0009406,0.0009406,0.0009406
8,258.093,0.54776,0.65305,1.14947,0.86572,0.8676,0.92568,0.75617,0.66005,0.60843,1.25616,0.0009307,0.0009307,0.0009307
9,287.084,0.54396,0.64821,1.15054,0.89508,0.87789,0.94432,0.77706,0.62383,0.54156,1.21378,0.0009208,0.0009208,0.0009208
10,320.195,0.54584,0.63896,1.14789,0.88606,0.87791,0.93885,0.77242,0.60915,0.53804,1.19561,0.0009109,0.0009109,0.0009109
11,351.028,0.53506,0.64509,1.14277,0.83973,0.8746,0.93306,0.74755,0.72629,0.62751,1.31515,0.000901,0.000901,0.000901
12,381.802,0.54406,0.61228,1.14828,0.8582,0.87886,0.93855,0.77906,0.60403,0.55248,1.19828,0.0008911,0.0008911,0.0008911
13,411.275,0.52832,0.61636,1.14491,0.89984,0.87986,0.93794,0.78544,0.61766,0.5388,1.19798,0.0008812,0.0008812,0.0008812
14,438.39,0.52357,0.60355,1.1365,0.88991,0.87796,0.94487,0.77839,0.60723,0.55748,1.21012,0.0008713,0.0008713,0.0008713
15,465.291,0.52349,0.60784,1.13445,0.89869,0.8861,0.95207,0.78793,0.61169,0.50948,1.19074,0.0008614,0.0008614,0.0008614
16,492.341,0.52363,0.58716,1.13789,0.90444,0.86134,0.93908,0.77458,0.63102,0.53938,1.21516,0.0008515,0.0008515,0.0008515
17,519.366,0.51973,0.58526,1.13688,0.90653,0.92049,0.95693,0.78977,0.64296,0.48952,1.21177,0.0008416,0.0008416,0.0008416
18,546.602,0.51914,0.58902,1.12965,0.85413,0.88765,0.93721,0.77282,0.6406,0.53866,1.22556,0.0008317,0.0008317,0.0008317
19,573.633,0.5163,0.57864,1.12845,0.88045,0.888,0.94122,0.77443,0.63138,0.52627,1.21801,0.0008218,0.0008218,0.0008218
20,600.651,0.51452,0.56734,1.12374,0.9121,0.87894,0.95526,0.78873,0.62389,0.49902,1.20373,0.0008119,0.0008119,0.0008119
21,627.581,0.50588,0.5606,1.12185,0.8762,0.86845,0.93487,0.77048,0.62705,0.61427,1.21019,0.000802,0.000802,0.000802
