epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5082,0.48961,0.48775,1.10875,0.89106,0.85941,0.93206,0.76078,0.69898,0.55842,1.40686,0.000330159,0.000330159,0.000330159
2,36.0433,0.52721,0.53017,1.13262,0.86742,0.84992,0.92925,0.75054,0.73617,0.57391,1.45633,0.000656923,0.000656923,0.000656923
3,52.2187,0.55956,0.5796,1.15049,0.86724,0.81974,0.91912,0.71679,0.82716,0.68892,1.53004,0.000977088,0.000977088,0.000977088
4,66.3835,0.58471,0.59329,1.17772,0.85601,0.87257,0.93138,0.73344,0.78536,0.65879,1.4749,0.0009703,0.0009703,0.0009703
5,80.5682,0.58691,0.58632,1.17365,0.82553,0.84641,0.88671,0.67816,0.94133,0.72573,1.64434,0.0009604,0.0009604,0.0009604
6,95.1066,0.58442,0.58559,1.16948,0.76335,0.86992,0.89693,0.69035,0.83932,0.76241,1.56652,0.0009505,0.0009505,0.0009505
7,108.238,0.58946,0.5823,1.17234,0.87252,0.87207,0.92834,0.72439,0.84427,0.6217,1.53503,0.0009406,0.0009406,0.0009406
8,121.493,0.58405,0.58463,1.1719,0.8783,0.85395,0.9199,0.71275,0.83717,0.62739,1.57247,0.0009307,0.0009307,0.0009307
9,132.925,0.57242,0.58818,1.16316,0.87383,0.86785,0.92648,0.71482,0.78601,0.6284,1.48683,0.0009208,0.0009208,0.0009208
10,145.056,0.56758,0.57557,1.1536,0.87926,0.85414,0.92322,0.73041,0.7952,0.62553,1.56029,0.0009109,0.0009109,0.0009109
11,157.659,0.56962,0.57954,1.15923,0.84793,0.84974,0.91907,0.71823,0.76664,0.72248,1.49701,0.000901,0.000901,0.000901
12,169.836,0.5777,0.58216,1.17275,0.9023,0.78338,0.87747,0.69328,0.76251,0.72445,1.45548,0.0008911,0.0008911,0.0008911
13,181.887,0.56232,0.56232,1.15861,0.8479,0.86539,0.91846,0.70362,0.87218,0.64144,1.56832,0.0008812,0.0008812,0.0008812
14,193.587,0.57075,0.55381,1.1649,0.82918,0.87233,0.93082,0.72462,0.79136,0.66764,1.49003,0.0008713,0.0008713,0.0008713
15,204.66,0.55986,0.5491,1.14797,0.88756,0.85231,0.92013,0.72632,0.774,0.62981,1.51137,0.0008614,0.0008614,0.0008614
16,215.687,0.56807,0.54878,1.15859,0.85043,0.8671,0.93286,0.73022,0.77748,0.60547,1.45777,0.0008515,0.0008515,0.0008515
17,226.849,0.55055,0.5546,1.14739,0.91388,0.88546,0.94302,0.72468,0.83929,0.5528,1.54987,0.0008416,0.0008416,0.0008416
18,237.875,0.54512,0.53179,1.13496,0.81608,0.90839,0.92538,0.73469,0.75384,0.60838,1.46243,0.0008317,0.0008317,0.0008317
19,248.907,0.53883,0.51838,1.14399,0.88917,0.88666,0.93836,0.72387,0.81677,0.56518,1.53242,0.0008218,0.0008218,0.0008218
20,259.925,0.55546,0.52153,1.15014,0.86676,0.88136,0.9331,0.74353,0.73866,0.5502,1.40204,0.0008119,0.0008119,0.0008119
21,270.973,0.54251,0.52611,1.14458,0.88678,0.88226,0.92738,0.73696,0.79376,0.56753,1.49206,0.000802,0.000802,0.000802
