epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2072.63,0.54434,0.61483,1.15962,0.89827,0.90035,0.95349,0.80649,0.58236,0.47403,1.15848,0.0005941,0.0005941,0.0005941
43,2119.1,0.54264,0.60313,1.15801,0.89606,0.88488,0.95168,0.80093,0.59542,0.47048,1.16228,0.0005842,0.0005842,0.0005842
44,2165.71,0.54293,0.60552,1.15652,0.92502,0.92304,0.965,0.81298,0.58902,0.44137,1.16494,0.0005743,0.0005743,0.0005743
45,2212.11,0.53825,0.59838,1.15825,0.93062,0.90178,0.95522,0.81001,0.60153,0.44662,1.17177,0.0005644,0.0005644,0.0005644
46,2263.65,0.53392,0.59832,1.15205,0.9078,0.91742,0.95497,0.81199,0.58218,0.44353,1.15374,0.0005545,0.0005545,0.0005545
47,2310.66,0.52903,0.58725,1.14893,0.93942,0.88411,0.95251,0.80701,0.59097,0.46168,1.15031,0.0005446,0.0005446,0.0005446
48,2357.18,0.53466,0.58224,1.15038,0.933,0.89411,0.96264,0.81428,0.59107,0.43097,1.14543,0.0005347,0.0005347,0.0005347
49,2403.76,0.53934,0.59331,1.15911,0.92571,0.91839,0.9629,0.81812,0.5847,0.42467,1.15837,0.0005248,0.0005248,0.0005248
50,2450.3,0.52984,0.57669,1.14839,0.93167,0.90554,0.95804,0.81295,0.5854,0.43054,1.15788,0.0005149,0.0005149,0.0005149
51,2496.65,0.52099,0.5585,1.1378,0.9239,0.91297,0.95272,0.80792,0.60342,0.46424,1.17475,0.000505,0.000505,0.000505
52,2543,0.51399,0.5561,1.13712,0.9242,0.91395,0.95668,0.80832,0.6002,0.43829,1.15347,0.0004951,0.0004951,0.0004951
53,2589.27,0.51322,0.55853,1.1389,0.92866,0.92602,0.95837,0.81525,0.58473,0.42125,1.14796,0.0004852,0.0004852,0.0004852
54,2635.76,0.51968,0.558,1.142,0.93468,0.9199,0.96127,0.8222,0.58809,0.41792,1.16167,0.0004753,0.0004753,0.0004753
