epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1493,0.59083,0.69848,1.17449,0.87948,0.77958,0.87732,0.66891,0.88205,0.80168,1.64747,0.000328358,0.000328358,0.000328358
2,32.2491,0.63236,0.67051,1.19298,0.84,0.71407,0.84975,0.62853,0.96866,0.96581,1.73357,0.000655141,0.000655141,0.000655141
3,40.0918,0.67521,0.70818,1.22364,0.74438,0.79498,0.82208,0.60997,0.99221,1.15839,1.79814,0.000975323,0.000975323,0.000975323
4,47.2421,0.69831,0.74134,1.25302,0.81921,0.80783,0.88051,0.62857,1.03094,0.94205,1.82859,0.0009703,0.0009703,0.0009703
5,54.5844,0.68602,0.76007,1.2362,0.91971,0.82141,0.91443,0.6652,0.96923,0.80103,1.82149,0.0009604,0.0009604,0.0009604
6,62.206,0.70777,0.77562,1.25272,0.83988,0.8062,0.87914,0.66943,0.90382,0.81497,1.65856,0.0009505,0.0009505,0.0009505
7,71.4794,0.69957,0.7633,1.25423,0.77451,0.81732,0.86952,0.63817,0.91445,0.96429,1.68841,0.0009406,0.0009406,0.0009406
8,78.8601,0.68664,0.73534,1.24298,0.8447,0.76586,0.87254,0.62508,1.039,0.85912,1.836,0.0009307,0.0009307,0.0009307
9,87.7321,0.70778,0.74791,1.25918,0.76435,0.86701,0.86858,0.64227,0.96463,0.7963,1.70465,0.0009208,0.0009208,0.0009208
10,95.097,0.6791,0.71209,1.24133,0.85074,0.82815,0.90182,0.67205,0.98267,0.74046,1.68648,0.0009109,0.0009109,0.0009109
11,102.35,0.68762,0.72193,1.25008,0.87646,0.78473,0.89831,0.65434,0.92212,0.81735,1.68619,0.000901,0.000901,0.000901
12,109.953,0.66928,0.69414,1.23409,0.85537,0.82708,0.88623,0.65991,0.92325,0.8049,1.71521,0.0008911,0.0008911,0.0008911
13,118.927,0.66438,0.68229,1.22111,0.86493,0.77616,0.90959,0.68805,0.92633,0.71357,1.68451,0.0008812,0.0008812,0.0008812
14,126.939,0.67419,0.69427,1.23515,0.8378,0.81787,0.89234,0.68137,0.91455,0.81004,1.69905,0.0008713,0.0008713,0.0008713
15,134.576,0.67118,0.67176,1.22326,0.77401,0.88415,0.90589,0.68845,0.88969,0.77317,1.6372,0.0008614,0.0008614,0.0008614
16,143.217,0.66409,0.67306,1.22018,0.85621,0.8295,0.90046,0.67988,0.9467,0.72539,1.66343,0.0008515,0.0008515,0.0008515
17,150.969,0.65636,0.67429,1.2223,0.84188,0.77083,0.89146,0.67202,0.92473,0.80818,1.67792,0.0008416,0.0008416,0.0008416
18,158.854,0.65197,0.66271,1.22553,0.84458,0.87924,0.92254,0.70029,0.92475,0.69893,1.70618,0.0008317,0.0008317,0.0008317
19,168.268,0.64327,0.63171,1.20929,0.75824,0.83759,0.87243,0.66858,0.88942,0.76231,1.62642,0.0008218,0.0008218,0.0008218
20,176.927,0.64564,0.65085,1.21462,0.85746,0.78506,0.89772,0.6661,0.93745,0.76545,1.67429,0.0008119,0.0008119,0.0008119
21,184.326,0.63463,0.61382,1.20316,0.84074,0.79017,0.91467,0.68373,0.94613,0.78035,1.69495,0.000802,0.000802,0.000802
22,191.931,0.63281,0.61899,1.20863,0.81926,0.72395,0.84279,0.62139,0.96268,1.01799,1.74805,0.0007921,0.0007921,0.0007921
23,201.803,0.65001,0.6307,1.21087,0.86532,0.84306,0.92353,0.70531,0.90052,0.67802,1.60404,0.0007822,0.0007822,0.0007822
24,209.334,0.62601,0.59098,1.19467,0.8627,0.84223,0.91884,0.71428,0.8649,0.64073,1.58464,0.0007723,0.0007723,0.0007723
25,216.826,0.63169,0.61524,1.20254,0.82779,0.84733,0.90316,0.69401,0.92056,0.78857,1.62645,0.0007624,0.0007624,0.0007624
26,227.434,0.61895,0.5926,1.20082,0.80415,0.86891,0.91427,0.70833,0.85238,0.69106,1.5633,0.0007525,0.0007525,0.0007525
27,234.838,0.61505,0.60222,1.18613,0.86484,0.91309,0.94467,0.70715,0.91288,0.5947,1.65006,0.0007426,0.0007426,0.0007426
28,242.256,0.59719,0.55561,1.17747,0.85205,0.86447,0.91052,0.69617,0.9156,0.71801,1.66832,0.0007327,0.0007327,0.0007327
29,249.647,0.60041,0.57622,1.17585,0.86373,0.80731,0.90357,0.70569,0.86457,0.73342,1.60983,0.0007228,0.0007228,0.0007228
30,259.217,0.58518,0.57631,1.17347,0.87479,0.81006,0.91613,0.67643,0.91887,0.74225,1.65366,0.0007129,0.0007129,0.0007129
31,266.557,0.58951,0.55996,1.1726,0.86684,0.83013,0.90442,0.69386,0.92821,0.74529,1.70641,0.000703,0.000703,0.000703
32,273.853,0.59736,0.57104,1.17867,0.84298,0.85393,0.92269,0.69143,0.95184,0.66787,1.72461,0.0006931,0.0006931,0.0006931
33,281.2,0.59153,0.56372,1.17049,0.8409,0.88808,0.92863,0.7112,0.90112,0.63183,1.65656,0.0006832,0.0006832,0.0006832
34,288.487,0.59044,0.54764,1.16249,0.89226,0.83348,0.90835,0.69063,0.91383,0.69111,1.6444,0.0006733,0.0006733,0.0006733
35,295.839,0.57904,0.55687,1.1625,0.87108,0.87016,0.92022,0.71513,0.89528,0.62955,1.63262,0.0006634,0.0006634,0.0006634
36,303.313,0.57041,0.54771,1.14979,0.88756,0.88598,0.93555,0.73273,0.83534,0.61359,1.53441,0.0006535,0.0006535,0.0006535
37,310.732,0.57899,0.54532,1.15985,0.89278,0.87165,0.92868,0.71862,0.87159,0.5899,1.6133,0.0006436,0.0006436,0.0006436
38,318.085,0.57053,0.53016,1.15161,0.83547,0.81864,0.90727,0.66542,0.98337,0.7294,1.75649,0.0006337,0.0006337,0.0006337
39,325.424,0.56532,0.51619,1.14925,0.88711,0.84711,0.91322,0.69341,0.93193,0.69872,1.72052,0.0006238,0.0006238,0.0006238
40,332.752,0.54727,0.5183,1.1409,0.83988,0.81735,0.88167,0.67829,0.91324,0.85916,1.67159,0.0006139,0.0006139,0.0006139
41,340.146,0.56847,0.52061,1.14658,0.79971,0.8688,0.89466,0.69099,0.86839,0.73677,1.60611,0.000604,0.000604,0.000604
42,347.496,0.5562,0.5027,1.15056,0.90783,0.83805,0.92892,0.71468,0.8687,0.61902,1.61917,0.0005941,0.0005941,0.0005941
43,354.817,0.55317,0.50052,1.14632,0.82969,0.80149,0.8868,0.67788,0.8635,0.83635,1.63019,0.0005842,0.0005842,0.0005842
44,362.192,0.54961,0.50503,1.14891,0.85114,0.86988,0.88712,0.6868,0.83398,0.64859,1.56321,0.0005743,0.0005743,0.0005743
45,369.558,0.54101,0.48501,1.1279,0.87533,0.86017,0.92934,0.71575,0.86834,0.5971,1.59746,0.0005644,0.0005644,0.0005644
46,376.882,0.54407,0.46638,1.13489,0.86961,0.88058,0.92253,0.73126,0.83766,0.59966,1.57906,0.0005545,0.0005545,0.0005545
47,384.2,0.52574,0.48833,1.12224,0.88198,0.86503,0.93712,0.7282,0.8702,0.61184,1.62575,0.0005446,0.0005446,0.0005446
48,391.467,0.53772,0.49893,1.13311,0.87021,0.82308,0.90832,0.72235,0.86473,0.66825,1.63409,0.0005347,0.0005347,0.0005347
49,398.852,0.52448,0.48433,1.1238,0.91629,0.85284,0.94039,0.72476,0.8857,0.59921,1.6585,0.0005248,0.0005248,0.0005248
50,406.178,0.54439,0.47812,1.13854,0.90698,0.82927,0.92257,0.70407,0.8767,0.64228,1.64612,0.0005149,0.0005149,0.0005149
51,413.443,0.53048,0.46937,1.12741,0.90244,0.82882,0.89774,0.69201,0.8792,0.64757,1.66857,0.000505,0.000505,0.000505
52,420.732,0.53113,0.47042,1.12745,0.81393,0.8779,0.90742,0.69758,0.88657,0.69806,1.67579,0.0004951,0.0004951,0.0004951
53,428.033,0.51961,0.4775,1.11646,0.91918,0.88163,0.9391,0.72524,0.89649,0.56697,1.67479,0.0004852,0.0004852,0.0004852
54,435.365,0.52175,0.46584,1.11567,0.91483,0.87691,0.93116,0.7099,0.90204,0.66163,1.70602,0.0004753,0.0004753,0.0004753
55,442.63,0.53268,0.4543,1.12442,0.89565,0.92215,0.94972,0.73404,0.87665,0.52869,1.64489,0.0004654,0.0004654,0.0004654
56,449.973,0.50292,0.45542,1.1073,0.91049,0.87899,0.93848,0.73302,0.89524,0.53662,1.65418,0.0004555,0.0004555,0.0004555
57,457.26,0.51245,0.44097,1.11196,0.89515,0.87609,0.93811,0.72371,0.88976,0.59854,1.65309,0.0004456,0.0004456,0.0004456
